index,gr_name,participants
1,alooo triệu hồi 5ae siu nhân :))),4
2,Aneed - Dự án Đại Lộc,4
3,ANEED - Phụ đạo tiếng anh,17
4,Aneed Dev Funny,3
5,Anh Em plus,10
6,Ban cán sự lớp Lịch sử Đảng,15
7,Bàn vụ cuối tuần,10
8,Bíu bìu,3
9,Bóng chuyền hơi PHI1017 24,34
10,Cháu Bà Phụng💋,19
11,Chị em cây khế :v,3
12,Chủ nghĩa xã hội khoa học PHI1002 2,84
13,"Đỗ Thị Diệu Thuý, Đỗ Thị Cúc, Emily Luyến",6
14,"Đỗ Thị Viên, Nguyễn Đình Thông, Đỗ Viết Thành",4
15,"Đỗ Viết Thành, Dung Tình, Cò",7
16,"Đỗ Viết Thành, ゆうびん, phung the anh",3
17,Đội 5 bóng đá,48
18,ĐỘI HỖ TRỢ BƠI,4
19,"Emily Luyến, Luong Thuy, Đ...",3
20,Football club - PG Corp,26
21,Hồ Đồng Đò,10
22,"Khánh Duy, Lê Văn Công, Đỗ...",9
23,Khóc cùng nhau,3
24,Lớp 9a1,31
25,Lớp Điện Quang Thứ 6 (1-3),28
26,Lớp Lịch sử Đảng t4 tiết 4-5,66
27,MAT3504-1,67
28,Maxflow Careers ,26
29,mua domain matbao,3
30,NCKH thầy QUYỀN (không có thầy),4
31,Nhậu,4
32,Nhóm thầy Quyền: Relation Extraction,5
